param,name,side
p_238405_1_,matrixStack,0
p_238405_2_,text,0
p_238405_3_,x,0
p_238405_4_,y,0
p_238405_5_,color,0
p_238421_1_,matrixStack,0
p_238421_2_,text,0
p_238421_3_,x,0
p_238421_4_,y,0
p_238421_5_,color,0
p_238413_1_,text,0
p_238413_2_,width,0
p_238413_3_,reverse,0
p_238412_1_,text,0
p_238412_2_,width,0
p_230430_1_,matrixStack,0
p_230430_2_,mouseX,0
p_230430_3_,mouseY,0
p_230430_4_,partialTicks,0
p_231047_1_,mouseX,0
p_231047_3_,mouseY,0
p_231044_1_,mouseX,0
p_231044_3_,mouseY,0
p_231044_5_,mouseButton,0
p_231048_1_,mouseX,0
p_231048_3_,mouseY,0
p_231048_5_,mouseButton,0
p_231043_1_,mouseX,0
p_231043_3_,mouseY,0
p_231043_5_,delta,0
p_231046_1_,keyCode,0
p_231046_2_,scanCode,0
p_231046_3_,modifiers,0
p_231042_1_,character,0
p_231042_2_,modifiers,0
p_231045_1_,mouseX,0
p_231045_3_,mouseY,0
p_231045_5_,mouseButton,0
p_231045_6_,distanceX,0
p_231045_8_,distanceY,0
p_231168_0_,keyCode,0
p_231169_0_,keyCode,0
p_231170_0_,keyCode,0
p_231166_0_,keyCode,0
p_231156_1_,link,0
p_238651_1_,matrixStack,0
p_230446_1_,matrixStack,0
p_238425_2_,wrapWidth,0
p_238425_1_,textProperties,0
p_235657_0_,blockState,2
p_235657_1_,tag,2
p_230337_1_,blockState,2
p_230337_2_,compound,2
p_230481_1_,child,0
p_230480_1_,button,0
p_230450_1_,matrixStack,0
p_230450_2_,partialTicks,0
p_230450_3_,mouseX,0
p_230450_4_,mouseY,0
p_230451_1_,matrixStack,0
p_230451_2_,mouseX,0
p_230451_3_,mouseY,0
p_235905_1_,property,2
p_235905_2_,entry,2
p_i231879_1_,objectIn,2
p_i231879_2_,propertiesIn,2
p_235896_1_,property,2
p_235898_0_,values,2
p_235898_1_,currentValue,2
p_235901_1_,property,2
p_235899_1_,map,2
p_235902_1_,property,2
p_235902_2_,value,2
p_242729_1_,chance,2
p_i241992_1_,bottom_offset,2
p_i241992_2_,top_offset,2
p_i241992_3_,maximum,2
p_242733_1_,maximum,2
p_232937_1_,id,2
p_212829_1_,json,2
p_212829_2_,context,2
p_212829_3_,weight,2
p_212829_4_,quality,2
p_212829_5_,conditions,2
p_212829_6_,functions,2
p_216154_1_,output,2
p_216154_2_,context,2
